tvhours,age,childs,educ,female,grass,hrsrelax,black,social_connect,voted04,xmovie,zodiac,dem,rep,ind
NA,44.0,0.0,12.0,1.0,NA,NA,1.0,NA,0.0,NA,Capricorn,1.0,0.0,0.0
NA,29.0,2.0,14.0,1.0,1.0,1.0,NA,NA,1.0,1.0,Aquarius,1.0,0.0,0.0
1.0,52.0,3.0,18.0,1.0,NA,0.0,0.0,0.0,1.0,NA,Taurus,1.0,0.0,0.0
0.0,40.0,3.0,12.0,1.0,NA,4.0,0.0,0.0,1.0,NA,Libra,0.0,1.0,0.0
NA,NA,NA,17.0,1.0,0.0,NA,0.0,NA,0.0,0.0,NaN,NA,NA,NA
NA,46.0,2.0,12.0,1.0,1.0,1.0,0.0,NA,1.0,0.0,Aries,0.0,1.0,0.0
1.0,26.0,0.0,16.0,0.0,1.0,5.0,0.0,0.0,1.0,0.0,Sagittarius,0.0,1.0,0.0
2.0,63.0,3.0,16.0,1.0,NA,NA,0.0,0.0,1.0,NA,Cancer,1.0,0.0,0.0
NA,30.0,0.0,16.0,1.0,0.0,2.0,0.0,NA,1.0,0.0,Gemini,0.0,1.0,0.0
NA,38.0,2.0,17.0,0.0,NA,NA,0.0,NA,1.0,NA,Gemini,0.0,1.0,0.0
NA,48.0,2.0,12.0,0.0,NA,9.0,0.0,NA,NA,1.0,Aquarius,0.0,0.0,1.0
3.0,82.0,2.0,12.0,0.0,NA,7.0,0.0,0.0,1.0,NA,Capricorn,0.0,0.0,1.0
3.0,79.0,5.0,12.0,0.0,NA,NA,0.0,1.0,1.0,NA,Libra,1.0,0.0,0.0
NA,41.0,3.0,12.0,1.0,0.0,2.0,0.0,NA,1.0,0.0,Aries,1.0,0.0,0.0
4.0,32.0,2.0,12.0,1.0,NA,NA,0.0,0.0,0.0,NA,Capricorn,0.0,0.0,1.0
NA,66.0,3.0,12.0,0.0,1.0,NA,0.0,NA,1.0,0.0,Gemini,0.0,0.0,1.0
NA,34.0,2.0,16.0,0.0,NA,NA,NA,NA,0.0,NA,Aries,0.0,0.0,1.0
NA,56.0,3.0,13.0,0.0,0.0,5.0,0.0,NA,1.0,0.0,Aries,0.0,0.0,1.0
1.0,78.0,1.0,18.0,1.0,NA,NA,0.0,0.0,1.0,NA,Leo,1.0,0.0,0.0
1.0,35.0,1.0,19.0,1.0,NA,3.0,0.0,0.0,1.0,NA,Taurus,1.0,0.0,0.0
2.0,76.0,3.0,20.0,1.0,0.0,NA,0.0,1.0,1.0,0.0,Scorpio,1.0,0.0,0.0
5.0,21.0,0.0,16.0,1.0,1.0,NA,0.0,1.0,1.0,1.0,Leo,1.0,0.0,0.0
4.0,52.0,3.0,18.0,0.0,1.0,6.0,0.0,1.0,1.0,0.0,Scorpio,0.0,1.0,0.0
NA,47.0,2.0,13.0,0.0,NA,NA,0.0,NA,0.0,NA,Gemini,0.0,0.0,1.0
NA,26.0,2.0,11.0,1.0,NA,NA,0.0,NA,0.0,NA,Taurus,0.0,1.0,0.0
NA,35.0,3.0,19.0,0.0,NA,NA,0.0,NA,1.0,NA,Virgo,0.0,1.0,0.0
NA,31.0,1.0,16.0,1.0,NA,NA,0.0,NA,1.0,NA,Gemini,0.0,1.0,0.0
3.0,58.0,2.0,12.0,0.0,NA,3.0,0.0,2.0,1.0,NA,Virgo,1.0,0.0,0.0
NA,50.0,1.0,19.0,0.0,1.0,4.0,0.0,NA,1.0,0.0,Libra,0.0,1.0,0.0
NA,60.0,2.0,14.0,1.0,1.0,NA,0.0,NA,1.0,0.0,Aries,0.0,1.0,0.0
NA,38.0,0.0,16.0,1.0,NA,NA,0.0,NA,1.0,NA,Sagittarius,0.0,0.0,1.0
NA,63.0,5.0,10.0,0.0,1.0,2.0,1.0,NA,NA,0.0,Scorpio,0.0,0.0,1.0
NA,30.0,2.0,13.0,1.0,NA,NA,1.0,NA,1.0,NA,Capricorn,1.0,0.0,0.0
NA,48.0,2.0,16.0,0.0,0.0,NA,NA,NA,0.0,0.0,Virgo,1.0,0.0,0.0
1.0,50.0,5.0,18.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,Virgo,1.0,0.0,0.0
3.0,40.0,3.0,8.0,0.0,NA,NA,NA,0.0,NA,NA,Aquarius,0.0,0.0,1.0
NA,30.0,1.0,17.0,0.0,NA,NA,0.0,NA,1.0,NA,Scorpio,0.0,1.0,0.0
NA,23.0,0.0,12.0,0.0,NA,NA,NA,NA,1.0,NA,Aries,1.0,0.0,0.0
NA,34.0,2.0,17.0,0.0,1.0,4.0,NA,NA,0.0,0.0,Taurus,0.0,0.0,1.0
1.0,55.0,4.0,13.0,1.0,NA,2.0,0.0,1.0,1.0,NA,Pisces,1.0,0.0,0.0
NA,42.0,2.0,11.0,1.0,NA,2.0,0.0,NA,0.0,0.0,Cancer,0.0,0.0,1.0
NA,80.0,0.0,6.0,0.0,NA,NA,NA,NA,1.0,0.0,Gemini,1.0,0.0,0.0
0.0,45.0,2.0,14.0,1.0,1.0,NA,0.0,2.0,0.0,0.0,Capricorn,0.0,1.0,0.0
NA,33.0,1.0,20.0,0.0,NA,NA,0.0,NA,1.0,NA,Leo,0.0,1.0,0.0
NA,40.0,3.0,10.0,0.0,0.0,8.0,0.0,NA,0.0,1.0,Pisces,NA,NA,NA
NA,56.0,2.0,10.0,1.0,1.0,3.0,0.0,NA,1.0,0.0,Aries,0.0,1.0,0.0
NA,39.0,0.0,14.0,0.0,NA,NA,NA,NA,1.0,NA,Cancer,0.0,1.0,0.0
3.0,39.0,3.0,11.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Aries,0.0,0.0,1.0
1.0,26.0,0.0,16.0,0.0,NA,3.0,0.0,2.0,1.0,NA,Cancer,0.0,1.0,0.0
NA,54.0,0.0,14.0,1.0,NA,NA,0.0,NA,1.0,NA,Capricorn,1.0,0.0,0.0
NA,48.0,5.0,10.0,1.0,NA,NA,0.0,NA,1.0,NA,Pisces,0.0,0.0,1.0
1.0,37.0,2.0,16.0,0.0,1.0,6.0,0.0,1.0,1.0,0.0,Capricorn,0.0,1.0,0.0
NA,48.0,3.0,18.0,1.0,NA,NA,0.0,NA,1.0,NA,Taurus,1.0,0.0,0.0
4.0,65.0,3.0,13.0,0.0,1.0,NA,0.0,1.0,1.0,0.0,Cancer,1.0,0.0,0.0
NA,33.0,4.0,8.0,0.0,NA,NA,NA,NA,NA,NA,Leo,0.0,0.0,1.0
NA,82.0,4.0,6.0,0.0,NA,NA,0.0,NA,0.0,NA,Leo,0.0,1.0,0.0
NA,38.0,0.0,12.0,1.0,1.0,5.0,0.0,NA,1.0,0.0,Taurus,0.0,1.0,0.0
NA,33.0,1.0,13.0,1.0,NA,NA,0.0,NA,0.0,NA,Leo,0.0,0.0,1.0
2.0,44.0,0.0,16.0,1.0,1.0,3.0,0.0,0.0,1.0,0.0,Aries,0.0,1.0,0.0
NA,58.0,4.0,16.0,0.0,NA,NA,0.0,NA,0.0,NA,Gemini,0.0,0.0,1.0
2.0,80.0,2.0,12.0,0.0,NA,NA,0.0,2.0,1.0,NA,Gemini,0.0,1.0,0.0
1.0,40.0,1.0,19.0,1.0,NA,0.0,0.0,1.0,1.0,NA,Pisces,0.0,1.0,0.0
2.0,34.0,1.0,18.0,0.0,1.0,NA,0.0,0.0,1.0,0.0,Virgo,0.0,1.0,0.0
NA,59.0,3.0,12.0,0.0,NA,NA,0.0,NA,0.0,NA,Capricorn,1.0,0.0,0.0
3.0,58.0,2.0,16.0,1.0,NA,NA,0.0,1.0,1.0,NA,Pisces,1.0,0.0,0.0
5.0,78.0,5.0,11.0,1.0,1.0,NA,0.0,0.0,1.0,0.0,Sagittarius,1.0,0.0,0.0
1.0,34.0,1.0,14.0,0.0,NA,3.0,0.0,0.0,1.0,NA,Virgo,0.0,1.0,0.0
NA,38.0,2.0,14.0,1.0,1.0,2.0,0.0,NA,1.0,0.0,Libra,0.0,1.0,0.0
5.0,72.0,5.0,12.0,1.0,1.0,NA,0.0,1.0,1.0,0.0,Taurus,0.0,1.0,0.0
4.0,65.0,2.0,13.0,0.0,1.0,3.0,1.0,1.0,1.0,1.0,Leo,1.0,0.0,0.0
NA,57.0,2.0,16.0,0.0,NA,NA,0.0,NA,1.0,NA,Pisces,1.0,0.0,0.0
4.0,56.0,2.0,15.0,1.0,1.0,NA,0.0,1.0,1.0,0.0,Sagittarius,0.0,1.0,0.0
NA,63.0,2.0,12.0,1.0,NA,NA,1.0,NA,0.0,NA,Taurus,0.0,0.0,1.0
NA,33.0,3.0,11.0,1.0,NA,NA,0.0,NA,0.0,NA,Virgo,0.0,0.0,1.0
NA,46.0,4.0,7.0,0.0,NA,NA,1.0,NA,NA,NA,Gemini,0.0,0.0,1.0
0.0,49.0,3.0,12.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Virgo,0.0,0.0,1.0
5.0,60.0,1.0,12.0,1.0,NA,2.0,NA,1.0,1.0,NA,Gemini,1.0,0.0,0.0
3.0,49.0,3.0,16.0,1.0,NA,1.0,0.0,2.0,1.0,NA,NaN,0.0,0.0,1.0
3.0,54.0,5.0,14.0,0.0,0.0,NA,NA,2.0,0.0,0.0,Gemini,0.0,0.0,1.0
NA,36.0,3.0,16.0,1.0,NA,NA,0.0,NA,1.0,NA,Pisces,0.0,1.0,0.0
NA,25.0,4.0,13.0,0.0,0.0,24.0,0.0,NA,1.0,1.0,Aries,0.0,0.0,1.0
2.0,34.0,2.0,13.0,1.0,1.0,NA,0.0,0.0,1.0,1.0,Aries,0.0,1.0,0.0
NA,39.0,2.0,14.0,1.0,0.0,5.0,0.0,NA,1.0,0.0,Scorpio,0.0,1.0,0.0
2.0,60.0,4.0,12.0,0.0,NA,NA,0.0,2.0,1.0,NA,Scorpio,1.0,0.0,0.0
6.0,45.0,5.0,9.0,1.0,1.0,NA,0.0,1.0,NA,0.0,Libra,1.0,0.0,0.0
NA,25.0,0.0,14.0,1.0,NA,NA,0.0,NA,1.0,NA,Pisces,1.0,0.0,0.0
2.0,44.0,2.0,12.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,Scorpio,0.0,0.0,1.0
NA,47.0,4.0,6.0,1.0,NA,NA,NA,NA,NA,NA,Pisces,0.0,0.0,1.0
3.0,33.0,0.0,17.0,1.0,NA,NA,0.0,2.0,NA,NA,Taurus,0.0,0.0,1.0
NA,41.0,2.0,14.0,0.0,NA,NA,0.0,NA,0.0,NA,Virgo,1.0,0.0,0.0
NA,48.0,2.0,16.0,1.0,NA,NA,0.0,NA,1.0,NA,Scorpio,1.0,0.0,0.0
NA,41.0,5.0,14.0,0.0,1.0,3.0,0.0,NA,1.0,0.0,Aries,0.0,1.0,0.0
1.0,41.0,0.0,20.0,1.0,1.0,5.0,0.0,0.0,1.0,0.0,Sagittarius,0.0,1.0,0.0
2.0,36.0,4.0,15.0,1.0,1.0,NA,0.0,1.0,1.0,0.0,Libra,0.0,1.0,0.0
2.0,35.0,1.0,12.0,0.0,0.0,2.0,0.0,1.0,1.0,1.0,Sagittarius,0.0,0.0,1.0
2.0,49.0,0.0,13.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,Capricorn,0.0,1.0,0.0
2.0,58.0,2.0,20.0,0.0,NA,1.0,0.0,2.0,1.0,0.0,Cancer,1.0,0.0,0.0
2.0,57.0,2.0,14.0,0.0,NA,1.0,0.0,1.0,1.0,NA,Taurus,0.0,1.0,0.0
3.0,37.0,2.0,14.0,1.0,1.0,NA,0.0,0.0,1.0,0.0,Taurus,0.0,1.0,0.0
NA,62.0,2.0,16.0,0.0,1.0,8.0,0.0,NA,1.0,1.0,Gemini,0.0,1.0,0.0
NA,38.0,0.0,12.0,0.0,NA,NA,0.0,NA,1.0,NA,Scorpio,1.0,0.0,0.0
NA,41.0,4.0,6.0,1.0,1.0,NA,NA,NA,0.0,0.0,Gemini,0.0,1.0,0.0
NA,69.0,2.0,12.0,1.0,NA,NA,0.0,NA,1.0,NA,Taurus,1.0,0.0,0.0
3.0,36.0,2.0,12.0,1.0,1.0,NA,0.0,1.0,1.0,0.0,Virgo,0.0,1.0,0.0
NA,33.0,3.0,9.0,1.0,NA,NA,NA,NA,NA,NA,Leo,0.0,0.0,1.0
NA,28.0,1.0,9.0,0.0,NA,NA,NA,NA,NA,NA,Capricorn,1.0,0.0,0.0
8.0,82.0,4.0,12.0,1.0,NA,NA,0.0,1.0,1.0,NA,Aries,1.0,0.0,0.0
2.0,49.0,2.0,12.0,1.0,1.0,2.0,0.0,0.0,1.0,0.0,Aquarius,1.0,0.0,0.0
NA,52.0,2.0,13.0,1.0,0.0,8.0,0.0,NA,NA,0.0,Scorpio,0.0,1.0,0.0
2.0,35.0,2.0,11.0,1.0,1.0,NA,0.0,2.0,0.0,1.0,Taurus,1.0,0.0,0.0
NA,53.0,3.0,12.0,1.0,1.0,NA,0.0,NA,NA,0.0,Sagittarius,1.0,0.0,0.0
2.0,52.0,2.0,16.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0,Aries,1.0,0.0,0.0
2.0,34.0,2.0,9.0,0.0,NA,NA,0.0,1.0,0.0,NA,Leo,1.0,0.0,0.0
1.0,35.0,2.0,16.0,1.0,NA,5.0,0.0,2.0,1.0,NA,Aquarius,NA,NA,NA
NA,37.0,2.0,13.0,1.0,NA,NA,0.0,NA,1.0,NA,Gemini,1.0,0.0,0.0
NA,35.0,1.0,14.0,1.0,NA,NA,NA,NA,0.0,NA,Aries,0.0,0.0,1.0
NA,46.0,2.0,18.0,1.0,1.0,8.0,0.0,NA,1.0,1.0,Pisces,0.0,1.0,0.0
1.0,32.0,2.0,16.0,0.0,1.0,0.0,NA,2.0,NA,0.0,Sagittarius,NA,NA,NA
NA,31.0,2.0,13.0,1.0,1.0,1.0,0.0,NA,1.0,0.0,Capricorn,0.0,1.0,0.0
1.0,46.0,2.0,13.0,1.0,NA,1.0,0.0,0.0,1.0,NA,Taurus,1.0,0.0,0.0
NA,32.0,2.0,12.0,1.0,NA,NA,0.0,NA,1.0,NA,Capricorn,1.0,0.0,0.0
NA,45.0,0.0,16.0,1.0,NA,NA,0.0,NA,1.0,NA,NaN,0.0,1.0,0.0
NA,49.0,3.0,16.0,1.0,NA,NA,0.0,NA,1.0,NA,Capricorn,0.0,1.0,0.0
1.0,30.0,1.0,13.0,1.0,NA,2.0,0.0,0.0,1.0,NA,Sagittarius,0.0,1.0,0.0
NA,30.0,2.0,16.0,1.0,NA,NA,0.0,NA,1.0,NA,NaN,0.0,1.0,0.0
1.0,76.0,1.0,20.0,0.0,NA,NA,0.0,0.0,1.0,NA,Virgo,1.0,0.0,0.0
1.0,36.0,5.0,11.0,0.0,NA,3.0,NA,1.0,0.0,NA,Sagittarius,1.0,0.0,0.0
1.0,57.0,2.0,16.0,0.0,NA,NA,0.0,2.0,1.0,NA,Leo,0.0,1.0,0.0
NA,31.0,4.0,11.0,1.0,NA,NA,0.0,NA,1.0,NA,Aries,0.0,1.0,0.0
NA,49.0,3.0,10.0,1.0,NA,NA,NA,NA,0.0,NA,Aquarius,0.0,1.0,0.0
4.0,68.0,3.0,16.0,0.0,0.0,NA,0.0,0.0,1.0,0.0,Gemini,0.0,1.0,0.0
NA,38.0,2.0,19.0,1.0,NA,NA,1.0,NA,1.0,NA,Aquarius,1.0,0.0,0.0
2.0,57.0,3.0,14.0,1.0,0.0,4.0,0.0,0.0,1.0,0.0,Virgo,0.0,1.0,0.0
NA,67.0,2.0,16.0,0.0,1.0,NA,0.0,NA,1.0,0.0,Aquarius,0.0,1.0,0.0
2.0,72.0,3.0,16.0,0.0,NA,NA,0.0,0.0,1.0,NA,Taurus,0.0,1.0,0.0
NA,29.0,0.0,18.0,0.0,0.0,8.0,0.0,NA,1.0,0.0,Cancer,1.0,0.0,0.0
NA,64.0,0.0,16.0,0.0,NA,NA,0.0,NA,1.0,NA,Capricorn,0.0,1.0,0.0
NA,48.0,3.0,16.0,0.0,NA,NA,0.0,NA,1.0,NA,NaN,0.0,1.0,0.0
1.0,37.0,2.0,16.0,0.0,NA,5.0,0.0,0.0,1.0,NA,Aquarius,1.0,0.0,0.0
NA,28.0,2.0,3.0,1.0,NA,NA,NA,NA,NA,NA,NaN,0.0,0.0,1.0
NA,38.0,3.0,0.0,0.0,NA,NA,NA,NA,NA,NA,Cancer,0.0,0.0,1.0
NA,36.0,6.0,12.0,1.0,NA,NA,0.0,NA,0.0,NA,Taurus,0.0,1.0,0.0
1.0,39.0,3.0,6.0,1.0,1.0,NA,NA,0.0,NA,0.0,Taurus,0.0,1.0,0.0
2.0,42.0,4.0,19.0,0.0,NA,3.0,0.0,0.0,0.0,NA,Capricorn,0.0,1.0,0.0
NA,40.0,2.0,9.0,1.0,NA,NA,NA,NA,0.0,NA,Pisces,0.0,0.0,1.0
2.0,33.0,1.0,15.0,1.0,NA,4.0,0.0,0.0,1.0,NA,Aries,0.0,0.0,1.0
3.0,24.0,3.0,10.0,0.0,1.0,3.0,0.0,2.0,0.0,0.0,Gemini,0.0,1.0,0.0
NA,43.0,2.0,16.0,1.0,1.0,5.0,0.0,NA,0.0,0.0,Aquarius,0.0,0.0,1.0
4.0,43.0,0.0,16.0,0.0,NA,3.0,0.0,2.0,0.0,NA,Gemini,NA,NA,NA
2.0,85.0,3.0,8.0,0.0,NA,10.0,0.0,1.0,1.0,NA,Libra,0.0,0.0,1.0
4.0,59.0,0.0,12.0,1.0,NA,2.0,0.0,1.0,1.0,NA,Virgo,0.0,1.0,0.0
NA,62.0,1.0,12.0,1.0,NA,NA,0.0,NA,1.0,NA,Aquarius,0.0,1.0,0.0
1.0,34.0,1.0,16.0,0.0,NA,3.0,0.0,0.0,NA,NA,Taurus,1.0,0.0,0.0
NA,58.0,2.0,16.0,0.0,1.0,2.0,0.0,NA,1.0,0.0,Aquarius,1.0,0.0,0.0
2.0,35.0,2.0,16.0,1.0,1.0,6.0,0.0,0.0,0.0,0.0,Libra,0.0,1.0,0.0
4.0,23.0,1.0,12.0,1.0,0.0,3.0,1.0,0.0,1.0,0.0,Aries,0.0,0.0,1.0
NA,67.0,3.0,14.0,0.0,0.0,NA,0.0,NA,1.0,0.0,Pisces,0.0,1.0,0.0
NA,85.0,5.0,14.0,1.0,NA,NA,0.0,NA,1.0,NA,Scorpio,0.0,1.0,0.0
10.0,73.0,1.0,7.0,0.0,0.0,NA,0.0,0.0,1.0,0.0,Sagittarius,1.0,0.0,0.0
4.0,64.0,4.0,14.0,0.0,NA,NA,NA,0.0,1.0,0.0,Capricorn,1.0,0.0,0.0
NA,43.0,2.0,12.0,0.0,1.0,3.0,0.0,NA,1.0,0.0,Gemini,1.0,0.0,0.0
NA,81.0,2.0,16.0,0.0,NA,NA,0.0,NA,1.0,NA,Virgo,0.0,1.0,0.0
3.0,39.0,4.0,12.0,0.0,NA,1.0,NA,0.0,0.0,NA,Capricorn,1.0,0.0,0.0
2.0,47.0,2.0,14.0,1.0,1.0,3.0,0.0,1.0,0.0,0.0,Scorpio,1.0,0.0,0.0
4.0,76.0,5.0,9.0,0.0,NA,6.0,0.0,1.0,1.0,NA,Leo,1.0,0.0,0.0
3.0,35.0,2.0,16.0,1.0,0.0,NA,0.0,0.0,0.0,0.0,Sagittarius,1.0,0.0,0.0
NA,32.0,2.0,12.0,0.0,1.0,NA,NA,NA,NA,1.0,Virgo,0.0,1.0,0.0
3.0,69.0,3.0,13.0,1.0,1.0,NA,0.0,0.0,1.0,0.0,Leo,0.0,0.0,1.0
NA,41.0,2.0,16.0,0.0,1.0,2.0,0.0,NA,1.0,0.0,Scorpio,0.0,1.0,0.0
2.0,56.0,3.0,12.0,1.0,NA,6.0,0.0,1.0,1.0,NA,Cancer,1.0,0.0,0.0
1.0,63.0,2.0,12.0,1.0,1.0,NA,0.0,2.0,1.0,0.0,Gemini,0.0,1.0,0.0
8.0,24.0,1.0,11.0,0.0,1.0,NA,NA,2.0,0.0,1.0,Virgo,0.0,1.0,0.0
2.0,28.0,2.0,13.0,1.0,NA,1.0,0.0,0.0,1.0,NA,Libra,0.0,1.0,0.0
4.0,54.0,4.0,12.0,0.0,1.0,6.0,0.0,0.0,0.0,0.0,Cancer,0.0,0.0,1.0
NA,48.0,5.0,3.0,1.0,NA,NA,NA,NA,NA,NA,Sagittarius,1.0,0.0,0.0
2.0,35.0,5.0,16.0,1.0,NA,NA,NA,0.0,1.0,NA,Capricorn,1.0,0.0,0.0
2.0,36.0,3.0,16.0,1.0,NA,NA,NA,2.0,0.0,NA,Virgo,0.0,0.0,1.0
NA,44.0,2.0,12.0,1.0,1.0,NA,0.0,NA,1.0,0.0,Aquarius,0.0,1.0,0.0
NA,48.0,2.0,12.0,0.0,NA,NA,0.0,NA,1.0,NA,Aquarius,0.0,0.0,1.0
NA,66.0,2.0,13.0,1.0,1.0,NA,0.0,NA,1.0,0.0,Capricorn,0.0,0.0,1.0
NA,57.0,2.0,12.0,0.0,NA,NA,0.0,NA,1.0,NA,Gemini,1.0,0.0,0.0
NA,37.0,1.0,12.0,0.0,NA,NA,NA,NA,0.0,NA,Aries,0.0,0.0,1.0
2.0,28.0,3.0,11.0,0.0,NA,NA,NA,0.0,NA,NA,Scorpio,0.0,0.0,1.0
NA,63.0,6.0,12.0,1.0,NA,NA,0.0,NA,1.0,NA,Aquarius,1.0,0.0,0.0
3.0,67.0,3.0,16.0,1.0,0.0,NA,0.0,0.0,1.0,0.0,Aquarius,1.0,0.0,0.0
NA,28.0,3.0,9.0,1.0,1.0,1.0,0.0,NA,0.0,0.0,Sagittarius,0.0,0.0,1.0
NA,49.0,2.0,13.0,1.0,NA,NA,0.0,NA,1.0,NA,Capricorn,0.0,0.0,1.0
NA,71.0,5.0,NA,0.0,0.0,0.0,0.0,NA,1.0,0.0,Taurus,0.0,1.0,0.0
2.0,60.0,2.0,16.0,0.0,1.0,NA,NA,0.0,0.0,0.0,Libra,1.0,0.0,0.0
NA,43.0,1.0,14.0,1.0,0.0,8.0,0.0,NA,0.0,0.0,Aries,0.0,0.0,1.0
NA,58.0,6.0,12.0,1.0,1.0,2.0,0.0,NA,1.0,0.0,Leo,0.0,1.0,0.0
NA,62.0,4.0,14.0,0.0,NA,NA,0.0,NA,0.0,NA,Aquarius,0.0,1.0,0.0
NA,46.0,1.0,12.0,0.0,NA,NA,0.0,NA,1.0,NA,Gemini,0.0,1.0,0.0
4.0,29.0,2.0,9.0,0.0,NA,NA,NA,0.0,NA,NA,Aquarius,0.0,0.0,1.0
NA,47.0,6.0,16.0,0.0,NA,NA,0.0,NA,1.0,NA,Taurus,0.0,1.0,0.0
3.0,41.0,2.0,6.0,0.0,0.0,NA,NA,0.0,1.0,0.0,Libra,1.0,0.0,0.0
NA,50.0,5.0,12.0,0.0,NA,NA,1.0,NA,1.0,NA,Gemini,1.0,0.0,0.0
2.0,37.0,3.0,8.0,1.0,NA,NA,0.0,0.0,NA,NA,NaN,0.0,0.0,1.0
NA,49.0,1.0,12.0,1.0,0.0,NA,0.0,NA,0.0,0.0,Leo,0.0,0.0,1.0
NA,52.0,1.0,12.0,0.0,0.0,5.0,0.0,NA,0.0,0.0,Virgo,0.0,1.0,0.0
NA,56.0,3.0,16.0,0.0,NA,NA,0.0,NA,1.0,NA,Aquarius,0.0,1.0,0.0
2.0,49.0,1.0,16.0,1.0,NA,4.0,0.0,1.0,1.0,NA,Capricorn,1.0,0.0,0.0
1.0,38.0,1.0,12.0,1.0,1.0,3.0,0.0,1.0,1.0,0.0,Sagittarius,0.0,1.0,0.0
NA,27.0,1.0,13.0,0.0,NA,NA,0.0,NA,0.0,NA,Virgo,0.0,0.0,1.0
1.0,52.0,3.0,14.0,0.0,NA,1.0,0.0,0.0,NA,NA,Pisces,0.0,1.0,0.0
NA,41.0,2.0,13.0,1.0,NA,NA,0.0,NA,1.0,NA,Virgo,0.0,1.0,0.0
NA,67.0,8.0,9.0,1.0,NA,NA,NA,NA,1.0,NA,Capricorn,0.0,0.0,1.0
NA,82.0,0.0,6.0,0.0,1.0,NA,0.0,NA,0.0,0.0,Taurus,1.0,0.0,0.0
NA,53.0,1.0,12.0,1.0,1.0,4.0,0.0,NA,0.0,0.0,Leo,0.0,0.0,1.0
NA,40.0,3.0,16.0,0.0,NA,NA,0.0,NA,1.0,NA,Pisces,0.0,1.0,0.0
NA,70.0,5.0,12.0,1.0,1.0,NA,0.0,NA,1.0,0.0,Taurus,0.0,1.0,0.0
0.0,40.0,2.0,15.0,0.0,NA,2.0,0.0,0.0,1.0,NA,Capricorn,0.0,1.0,0.0
3.0,46.0,1.0,14.0,1.0,NA,2.0,0.0,1.0,1.0,NA,Sagittarius,0.0,1.0,0.0
NA,42.0,2.0,14.0,0.0,0.0,3.0,0.0,NA,1.0,0.0,Sagittarius,1.0,0.0,0.0
NA,56.0,3.0,17.0,1.0,NA,NA,0.0,NA,1.0,NA,Virgo,1.0,0.0,0.0
1.0,32.0,1.0,17.0,1.0,NA,3.0,0.0,0.0,1.0,NA,Cancer,1.0,0.0,0.0
NA,34.0,2.0,19.0,1.0,1.0,NA,NA,NA,0.0,0.0,Sagittarius,1.0,0.0,0.0
2.0,72.0,2.0,14.0,0.0,1.0,NA,0.0,2.0,0.0,0.0,Virgo,1.0,0.0,0.0
1.0,36.0,2.0,12.0,0.0,NA,2.0,0.0,1.0,1.0,NA,Cancer,1.0,0.0,0.0
NA,55.0,6.0,0.0,1.0,1.0,NA,NA,NA,NA,0.0,Leo,0.0,0.0,1.0
1.0,72.0,2.0,13.0,0.0,NA,NA,0.0,2.0,1.0,NA,Pisces,0.0,1.0,0.0
NA,66.0,1.0,14.0,1.0,NA,NA,1.0,NA,1.0,NA,Aries,1.0,0.0,0.0
NA,74.0,4.0,12.0,0.0,NA,NA,0.0,NA,1.0,NA,Leo,1.0,0.0,0.0
NA,84.0,2.0,12.0,1.0,0.0,NA,0.0,NA,1.0,0.0,Gemini,1.0,0.0,0.0
NA,27.0,0.0,14.0,0.0,NA,NA,0.0,NA,1.0,NA,Cancer,1.0,0.0,0.0
NA,58.0,2.0,18.0,1.0,1.0,NA,0.0,NA,1.0,0.0,Capricorn,0.0,1.0,0.0
2.0,66.0,2.0,16.0,1.0,NA,NA,0.0,0.0,0.0,NA,Cancer,0.0,1.0,0.0
1.0,32.0,2.0,16.0,0.0,1.0,4.0,0.0,1.0,1.0,0.0,Leo,NA,NA,NA
1.0,66.0,2.0,10.0,0.0,NA,NA,0.0,0.0,1.0,NA,Aries,0.0,1.0,0.0
2.0,40.0,2.0,19.0,1.0,0.0,2.0,0.0,0.0,1.0,1.0,Pisces,1.0,0.0,0.0
5.0,61.0,4.0,12.0,0.0,NA,12.0,0.0,0.0,1.0,NA,Cancer,1.0,0.0,0.0
NA,58.0,0.0,12.0,0.0,NA,NA,NA,NA,1.0,NA,Virgo,0.0,0.0,1.0
2.0,46.0,2.0,12.0,1.0,NA,4.0,0.0,0.0,1.0,NA,Libra,0.0,1.0,0.0
NA,25.0,3.0,13.0,1.0,0.0,NA,0.0,NA,1.0,1.0,Gemini,0.0,0.0,1.0
NA,26.0,2.0,13.0,1.0,NA,NA,0.0,NA,0.0,NA,Cancer,0.0,1.0,0.0
1.0,44.0,2.0,12.0,1.0,NA,NA,0.0,1.0,0.0,NA,Cancer,1.0,0.0,0.0
2.0,49.0,2.0,12.0,0.0,NA,3.0,0.0,0.0,1.0,NA,Leo,1.0,0.0,0.0
NA,65.0,1.0,12.0,0.0,NA,NA,0.0,NA,1.0,NA,Leo,1.0,0.0,0.0
1.0,51.0,1.0,20.0,1.0,NA,2.0,0.0,0.0,NA,NA,Cancer,NA,NA,NA
NA,35.0,1.0,17.0,0.0,NA,NA,0.0,NA,1.0,NA,Libra,0.0,1.0,0.0
